"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US13055","Chattooga County, Georgia","24826","*****","*****","null",
"0500000US13057","Cherokee County, Georgia","253780","*****","*****","null",
"0500000US13059","Clarke County, Georgia","126952","*****","*****","null",
"0500000US13061","Clay County, Georgia","2931","*****","*****","null",
"0500000US13063","Clayton County, Georgia","287560","*****","*****","null",
"0500000US13065","Clinch County, Georgia","6648","*****","*****","null",
"0500000US13067","Cobb County, Georgia","756653","*****","*****","null",
"0500000US13069","Coffee County, Georgia","43070","*****","*****","null",
"0500000US13071","Colquitt County, Georgia","45510","*****","*****","null",
"0500000US13073","Columbia County, Georgia","154257","*****","*****","null",
"0500000US13075","Cook County, Georgia","17217","*****","*****","null",
"0500000US13077","Coweta County, Georgia","145839","*****","*****","null",
